"idno"	"chip_meth"	"pos_meth"	"site"	"bcell"	"tcell"	"nkcell"	"neutro"
4013778	5806361044	"R01"	"COL"	0.457367830109162	0.00623103597745989	0.0124031847478742	0.182746461455036
4013794	5859594026	"R01"	"COL"	0.0989584976562327	0.000270914607715667	0.0345555976818502	0.3031767360798
4013816	8221924080	"R04"	"COL"	0.0695996315653546	0.00173385348938015	0.0641824188918377	0.229202847938644
4013913	6190773037	"R05"	"COL"	0.188153504144031	0.00140875596012136	0.0449420384703432	0.200295488345217
4013930	7507867014	"R03"	"COL"	0.140901963568115	0.220361941915908	0.103071006878622	0.176408132501793
4013964	7810920098	"R02"	"COL"	0.112272655174095	0.097800173385349	0.188322591128202	0.22614065648423
4013999	5854945038	"R01"	"COL"	0.0457557415607219	0.00119202427394882	0.0736538187197623	0.196709854489065
4014049	7810920076	"R03"	"COL"	0.251951008020811	0.0390117035110533	0.154416941992092	0.187388252466532
4014065	5854945054	"R01"	"COL"	0.0363812882772997	0.0233528391850889	0.112323872871602	0.237916789499086
4014081	8221924139	"R03"	"COL"	0.128983308042489	0.125487646293888	0.234902236906245	0.192127389227255
4014103	7507867013	"R04"	"COL"	0.118037529908566	0.126263866385674	0.105020590473494	0.170760433388085
4014138	6229076111	"R03"	"COL"	0.102105129064995	0.0003250975292588	0.128364837783675	0.16210055702941
4014162	5806361039	"R04"	"COL"	0.0792804661878316	0.000379280450801933	0.0501773655789181	0.292260592609465
4014200	6229017156	"R01"	"COL"	0.299371341859961	0.0182596445600347	0.0872555922656123	0.221846277405302
4014260	5854945042	"R03"	"COL"	0.0846700378793004	0.140070825169274	0.341168824134756	0.223681759969537
4014332	7810920076	"R04"	"COL"	0.0844100006373505	0.0690832249674902	0.103775117803174	0.236667560033081
4014375	6929718158	"R01"	"COL"	0.112065634598104	0.119504871182314	0.142447056274712	0.152801816123434
4014383	5854671015	"R06"	"COL"	0.619723124267454	0.182377643956383	0.227449136986447	0.174329252370238
4014405	7507867004	"R04"	"COL"	0.0933744512960973	0.257152145643693	0.211666576396035	0.169855297365692
4014413	6229025010	"R06"	"COL"	0.0606998251211148	0.0260336966990902	0.124086009857553	0.194734444470434
4014421	6229017126	"R04"	"COL"	0.111170761886087	0.223789482899386	0.0646698803011428	0.20746132730176
4014472	8221916140	"R03"	"COL"	0.0772113463230204	0.000216731686172533	0.0324432649081947	0.264592912233198
4014480	5854945024	"R06"	"COL"	0.295089963147626	0.000379280450801933	0.0614742999512539	0.173740225626383
4014499	6229025010	"R02"	"COL"	0.0712417302751143	0.0141417425227568	0.109245518063153	0.199721850836798
4014570	7810920098	"R04"	"COL"	0.0782216087619859	0.0111074989163416	0.0545956778421708	0.180469248596021
4014677	5859594022	"R06"	"COL"	0.0725748770805029	0.0829540528825314	0.113036884579971	0.249065597746601
4014685	7507867012	"R06"	"COL"	0.0900730750220927	0.00308842652795838	0.0198775930238856	0.148139396497002
4014715	5806361043	"R02"	"COL"	0.0373966920400006	0.00753142609449498	0.084114174294535	0.210815908373565
4014723	6247004010	"R04"	"COL"	0.0899506719976051	0.000216731686172533	0.113542743318428	0.220793408409165
4014731	6229017163	"R05"	"COL"	0.0851777468786564	0.00173385348938015	0.120606229583002	0.228200455973536
4014758	5806361045	"R03"	"COL"	0.0586386299588121	0.114319818380748	0.0425284776408138	0.24960728021234
4014766	6247004010	"R03"	"COL"	0.293508448488328	0.0532618118768964	0.201050750148947	0.354370847164331
4014774	6929718158	"R04"	"COL"	0.10851761495082	0.0874512353706112	0.0757731679575367	0.165618371661258
4014782	6229076135	"R05"	"COL"	0.0919886294262779	0.0041179020372778	0.13202271904794	0.253490474882571
4014812	5854945036	"R06"	"COL"	0.0899782476809239	0.00731469440832244	0.201518760298553	0.191177224431674
4014847	8221924069	"R03"	"COL"	0.0285983887624695	0.0006501950585176	0.134485186589395	0.193496662392673
4014863	6229076038	"R05"	"COL"	0.127841736125507	0.153066753359341	0.0948383252992472	0.164208546536725
4014898	5806361023	"R02"	"COL"	0.0593167687475413	0.0469224100563502	0.196392785571142	0.170722743651096
4014901	6229076139	"R05"	"COL"	0.144111218916421	0.00298006068487211	0.165429452624149	0.22269252722929
4014987	5854945042	"R02"	"COL"	0.178196320127207	0.0004876462938882	0.22234530406651	0.236998420718004
4014995	6229025008	"R06"	"COL"	0.0889056758806475	0.00102947550931942	0.183285489898716	0.130550914103884
4015037	7810920076	"R05"	"COL"	0.0452101142409214	0.00363025574338971	0.124140172236365	0.234356572343902
4015045	6229076038	"R01"	"COL"	0.353132451766746	0.0340268747290854	0.357200888263013	0.198508428003127
4015070	6229017137	"R05"	"COL"	0.0531470421281365	0.0203727785002167	0.0700319558034989	0.278523949288253
4015185	7507867013	"R06"	"COL"	0.181226058330292	0.187256176853056	0.0901803607214429	0.303125419656429
4015207	6229017163	"R02"	"COL"	0.100196272348324	0.00184221933246642	0.234631425012187	0.233317101414405
4015223	6229076135	"R06"	"COL"	0.118367685996175	0.00449718248807973	0.185560309808807	0.214314861624142
4015231	5854671023	"R01"	"COL"	0.0874953172334774	0.134446247226145	0.236656561943922	0.195666075892119
4015274	6190773037	"R04"	"COL"	0.0673470148231442	0.00482228001733853	0.10081651310564	0.253818281561143
4015282	8221924147	"R01"	"COL"	0.0255323754024919	0.00482228001733853	0.0795103720955425	0.176727340321521
4015312	7810920052	"R05"	"COL"	0.0984879248092156	0.222204161248374	0.219032659914423	0.229440707604562
4015347	6055574024	"R04"	"COL"	0.276007982209818	0.0006501950585176	0.0178735850078535	0.24281487956311
4015355	8221916088	"R03"	"COL"	0.0836936308873384	0.00330515821413091	0.0430590911552835	0.171982975296147
4015380	6229017153	"R02"	"COL"	0.259452661635352	0.000812743823146889	0.113251969402829	0.25708353993617
4015398	5859594023	"R01"	"COL"	0.125637738269308	5.41829215431333e-05	0.124519308888046	0.227597605142532
4015410	6229025022	"R06"	"COL"	0.1070398235231	0.248983086970787	0.21572957917649	0.210811000471465
4015428	6247004010	"R05"	"COL"	0.12355242203167	0.0855315064745502	0.120638202961068	0.207866787827807
4015436	8221916052	"R04"	"COL"	0.112743548817544	0.0578673602080624	0.109245518063153	0.285329389459501
4015495	6929718158	"R03"	"COL"	0.333596732648261	0.126354573038578	0.169582408059362	0.186924436501103
4015509	5854945053	"R01"	"COL"	0.1135820933423	0.000270914607715667	0.138547365000271	0.247061683356964
4015541	6229017119	"R02"	"COL"	0.126394311040188	0.139599867694201	0.0666150016241344	0.232053055049058
4015584	6229017153	"R01"	"COL"	0.105469009568629	0.00130039011703509	0.166874289118778	0.246739597931777
4015592	8221916098	"R05"	"COL"	0.0913258927222292	0.107932379713914	0.196880246980447	0.207558703560037
4015622	6190773022	"R06"	"COL"	0.0679972789086542	0.0709254442999566	0.16660347722472	0.230630268778788
4015746	6929718158	"R02"	"COL"	0.0954355623375626	0.210392284351972	0.18339381465634	0.240862050549298
4015770	6190773034	"R06"	"COL"	0.132663403204878	0.0145752058951019	0.17564859448627	0.19935977125411
4015797	6229076111	"R05"	"COL"	0.110691905604694	0.000921109666233155	0.113199371716406	0.217136328420042
